S01         .833    .929   1.973    .565   1.157
S02         .583   -.013    .122    .324   -.194
S03         .222   1.668   2.282   1.666   1.645
S04         .972   3.419   1.531   3.134   3.663
S06         .389    .624    .424    .877    .454
S07         .472   -.490    .170  -1.203    .015
S08         .194  -1.681   -.951  -1.129  -2.009
S09         .250    .998   -.563   -.167   1.731
S10         .194   -.477   -.611   -.345   -.552
S11         .944    .741   2.121    .877   1.630
S12         .250  -1.932  -2.750   -.933  -2.555
S13         .778    .764   -.090    .217   1.111
S14         .722   1.526   -.175   1.352   1.670
S15         .833    .939    .936    .623   1.096
S16         .444   -.922   -.597    .456  -1.791
S17         .722   1.655   -.354    .140   3.542
S18         .639   -.245  -1.517   -.141   -.251
S20         .833   -.224   -.499   -.715    .101
S21         .306   -.122   -.126   -.345    .013
S22         .944   3.132    .011   2.967   3.239
S23         .611    .614   -.643    .195    .871
S24         .306  -1.093   -.143  -1.427   -.871
S26         .722    .783  -1.449   1.334    .444
S28         .778   1.908   1.066   1.870   1.934
S29         .222   -.327    .172   -.171   -.490
S30         .167   -.815   -.587    .381  -1.611
S32         .944   2.231    .992   2.463   2.038
S33         .361    .569    .840    .104    .917
